ID,Name,SMILES,Category,A Mass,Monoisotropic mass,Density (D),Boiling Point (BP),LOGP,Polar surface area,Polarizability (Pol),Surface tension,Molar Volume (MV),Flash Point (FP),SO(G),SO3,SO4,SO5,SO6,ESO(G),MESO(G)
Comp_154,Gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,Polyphenol,170.2,170.021523,1.748406989,501,0.91,98,15.4,109.3,97.3,271,42.9615,141.728,133.9732,47.0456,21.0091,211.7241,0.004723
Comp_155,Morin,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Polyphenol,302.238,302.0426,1.799035714,645.5,1.61,127,29.1,114.9,168,249.3,87.5561,284.3445,270.334,75.3946,30.7006,445.6768,0.002244
Comp_156,Apigenin,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Polyphenol,270.24,270.052823,1.547766323,555.5,2.1,87,27.7,79.6,174.6,217.1,78.5431,254.1329,235.8079,69.6886,26.0975,391.3803,0.002555
Comp_157,Myricetin,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Polyphenol,318.237,318.037567,1.912481971,747.6,2.11,148,29.8,133,166.4,285.9,92.1326,299.8946,288.0055,81.8899,34.0579,472.4681,0.002117
Comp_158,Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,Polyphenol,286.239,286.047738,1.688725664,582.1,2.05,107,28.3,98.9,169.5,226.1,82.9796,268.7944,252.6626,68.8993,27.3433,418.8856,0.002387
Comp_159,Avenanthramide-C,C1=CC(=C(C=C1/C=C/C(=O)NC2=C(C=C(C=C2)O)C(=O)O)O)O,Polyphenol,315.281,315.074287,1.582735944,702.3,3.14,127,33.3,91.9,199.2,378.5,83.4535,271.9044,247.5889,82.6792,32.812,402.5364,0.002484
Comp_160,Rosmarinic acid,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Polyphenol,360.318,360.084517,1.547757732,694.7,1.7,145,36.2,84.4,232.8,254.2,93.8269,306.1146,278.6436,96.4591,38.2807,451.241,0.002216
Comp_161,Oleocanthal,C/C=C(/C=O)\[C@@H](CC=O)CC(=O)OCCC1=CC=C(C=C1)O,Polyphenol,304.342,304.131074,1.165168453,500.1,2.76,81,32.3,46,261.2,180.7,71.0786,229.2528,195.0824,62.6625,20.7753,325.7525,0.00307
Comp_162,Epigallocatechin-3-gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Polyphenol,458.375,458.084911,1.900393864,909.1,2.08,197,43,149.7,241.2,320,131.5442,427.8496,406.7263,124.0188,49.218,667.4442,0.001498
Comp_163,Curcumin,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,Polyphenol,368.385,368.125988,1.30772098,593.2,2.85,96,41.8,57.8,281.7,209.7,94.6091,306.2627,271.301,90.6623,31.9523,448.6235,0.002229
Comp_164,Resveratrol,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Polyphenol,228.247,228.078644,1.359422275,449.1,3.14,61,27.5,70.7,167.9,222.3,61.2387,198.5969,175.725,63.1934,22.7402,288.2215,0.00347
Comp_165,Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,Polyphenol,286.239,286.047738,1.688725664,599.4,2.52,107,28.3,98.9,169.5,233,82.9796,268.7944,252.6626,68.8993,27.3433,418.8856,0.002387
Comp_166,Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Polyphenol,302.238,302.042653,1.799035714,642.4,2.08,127,29.1,114.9,168,248.1,87.5561,284.3445,270.334,75.3946,30.7006,445.6768,0.002244
Comp_167,Caffeic Acid,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,Polyphenol,180.159,180.042259,1.477924528,416.8,1.42,78,18.8,77.8,121.9,220,44.1819,144.838,129.6849,47.8349,19.7633,206.8462,0.004835
Comp_168,Secoisolariciresinol,COC1=C(C=CC(=C1)C[C@@H](CO)[C@@H](CC2=CC(=C(C=C2)O)OC)CO)O,Polyphenol,362.422,362.172939,1.251457182,609.1,0.98,99,39.2,54.5,289.6,322.1,91.3424,294.415,261.9634,84.0762,26.8698,439.5701,0.002275
Comp_169,Butein,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O)O,Polyphenol,272.256,272.068473,1.483683924,560.9,2.66,98,29.6,81.2,183.5,307.1,73.0801,237.6942,216.5343,68.8993,27.3433,353.8318,0.002826
Comp_170,Esculetin,C1=CC(=O)OC2=CC(=C(C=C21)O)O,Polyphenol,178.143,178.026609,1.562657895,469.7,0.98,67,17.3,75.6,114,201.5,49.645,161.2767,148.9586,48.6242,18.5174,244.3948,0.004092
Comp_171,Thymol,CC1=CC(=C(C=C1)C(C)C)O,Polyphenol,150.221,150.104465,0.97419585,233,3.28,20,18.7,35,154.2,102.2,38.385,126.1779,116.3018,40.5503,17.6519,184.9329,0.005407
Comp_172,Juglone,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,Polyphenol,174.155,174.031694,1.439297521,385.8,1.86,54,17.8,66.7,121,201.3,49.3649,159.4995,147.325,34.055,14.2946,245.8229,0.004068
