Name,SO(G),SO3,SO4,SO5,SO6,ESO(G),MESO(G)
Gallic acid,42.9615,141.728,133.9732,47.0456,21.0091,211.7241,0.004723
Morin,87.5561,284.3445,270.334,75.3946,30.7006,445.6768,0.002244
Apigenin,78.5431,254.1329,235.8079,69.6886,26.0975,391.3803,0.002555
Myricetin,92.1326,299.8946,288.0055,81.8899,34.0579,472.4681,0.002117
Kaempferol,82.9796,268.7944,252.6626,68.8993,27.3433,418.8856,0.002387
Avenanthramide-C,83.4535,271.9044,247.5889,82.6792,32.812,402.5364,0.002484
Rosmarinic acid,93.8269,306.1146,278.6436,96.4591,38.2807,451.241,0.002216
Oleocanthal,71.0786,229.2528,195.0824,62.6625,20.7753,325.7525,0.00307
Epigallocatechin-3-gallate,131.5442,427.8496,406.7263,124.0188,49.218,667.4442,0.001498
Curcumin,94.6091,306.2627,271.301,90.6623,31.9523,448.6235,0.002229
Resveratrol,61.2387,198.5969,175.725,63.1934,22.7402,288.2215,0.00347
Fisetin,82.9796,268.7944,252.6626,68.8993,27.3433,418.8856,0.002387
Quercetin,87.5561,284.3445,270.334,75.3946,30.7006,445.6768,0.002244
Caffeic Acid,44.1819,144.838,129.6849,47.8349,19.7633,206.8462,0.004835
Secoisolariciresinol,91.3424,294.415,261.9634,84.0762,26.8698,439.5701,0.002275
Butein,73.0801,237.6942,216.5343,68.8993,27.3433,353.8318,0.002826
Esculetin,49.645,161.2767,148.9586,48.6242,18.5174,244.3948,0.004092
Thymol,38.385,126.1779,116.3018,40.5503,17.6519,184.9329,0.005407
Juglone,49.3649,159.4995,147.325,34.055,14.2946,245.8229,0.004068
Coumestrol,83.8661,269.683,254.2648,63.1934,22.7402,429.6429,0.002328
Ellagic Acid,94.4871,305.6703,299.3624,68.11,28.5892,500.131,0.001999
Luteolin,83.1196,269.683,253.4794,76.1839,29.4547,418.1716,0.002391
Scopoletin,52.3243,169.1257,154.123,48.9734,17.0318,256.4816,0.003899
Ferulic Acid,46.8613,152.6871,134.8494,48.1841,18.2777,218.9331,0.004568
Chrysin,73.8266,237.6942,217.3197,55.9088,20.6288,365.3031,0.002737
Baicalein,78.2631,252.3558,234.1743,55.1195,21.8747,392.8084,0.002546
Galangin,78.2631,252.3558,234.1743,55.1195,21.8747,392.8084,0.002546
Acacetin,81.2225,261.982,240.9724,70.0379,24.6119,403.4672,0.002479
Hesperetin,85.799,277.5321,258.6438,76.5332,27.9692,430.2584,0.002324
Naringenin,78.5431,254.1329,235.8079,69.6886,26.0975,391.3803,0.002555
Taxifolin,87.5561,284.3445,270.334,75.3946,30.7006,445.6768,0.002244
Genistein,78.4031,253.2443,234.9911,62.4041,23.9861,392.0944,0.00255
Daidzein,73.8266,237.6942,217.3197,55.9088,20.6288,365.3031,0.002737
p-Coumaric Acid,39.6054,129.2879,112.0135,41.3396,16.406,180.055,0.005554
Sinapic Acid,54.1171,176.0863,157.6853,55.0287,20.1494,257.8112,0.003879
Protocatechuic Acid,38.385,126.1779,116.3018,40.5503,17.6519,184.9329,0.005407
Syringic Acid,48.3202,157.4262,144.3021,47.7441,18.038,235.8978,0.004239
Vanillic Acid,41.0644,134.027,121.4662,40.8996,16.1663,197.0197,0.005076
Isoferulic Acid,46.8613,152.6871,134.8494,48.1841,18.2777,218.9331,0.004568
Umbelliferone,45.0685,145.7266,131.2872,42.1289,15.1601,217.6035,0.004596
Piceatannol,65.8152,214.147,193.3964,69.6886,26.0975,315.0128,0.003174
Pterostilbene,66.5974,214.2951,186.0538,63.8919,19.7691,312.3952,0.003201
Epicatechin,83.1196,269.683,253.4794,76.1839,29.4547,418.1716,0.002391
Epicatechin gallate,126.9677,412.2995,389.0548,117.5235,45.8607,640.653,0.001561
Eriodictyol,83.1196,269.683,253.4794,76.1839,29.4547,418.1716,0.002391
Rutin,172.1437,558.9147,533.5681,143.5046,59.2898,880.754,0.001135
Chlorogenic Acid,94.6436,311.6153,302.9867,110.057,51.246,477.0974,0.002096
